Day Index,Pageviews,Unique Pageviews,Avg. Time on Page
4/17/18,0,0,00:00:00
4/18/18,0,0,00:00:00
4/19/18,0,0,00:00:00
4/20/18,0,0,00:00:00
4/21/18,0,0,00:00:00
4/22/18,1,1,00:00:00
4/23/18,0,0,00:00:00
4/24/18,0,0,00:00:00
4/25/18,0,0,00:00:00
4/26/18,0,0,00:00:00
4/27/18,0,0,00:00:00
4/28/18,0,0,00:00:00
4/29/18,0,0,00:00:00
4/30/18,0,0,00:00:00
5/1/18,0,0,00:00:00
5/2/18,1,1,00:00:15
5/3/18,0,0,00:00:00
5/4/18,0,0,00:00:00
5/5/18,0,0,00:00:00
5/6/18,1,1,00:00:17
5/7/18,0,0,00:00:00
5/8/18,1,1,00:00:00
5/9/18,0,0,00:00:00
5/10/18,0,0,00:00:00
5/11/18,0,0,00:00:00
5/12/18,0,0,00:00:00
5/13/18,0,0,00:00:00
5/14/18,0,0,00:00:00
5/15/18,0,0,00:00:00
5/16/18,0,0,00:00:00
5/17/18,0,0,00:00:00
5/18/18,0,0,00:00:00
5/19/18,1,1,00:00:00
5/20/18,0,0,00:00:00
5/21/18,0,0,00:00:00
5/22/18,0,0,00:00:00
5/23/18,0,0,00:00:00
5/24/18,0,0,00:00:00
5/25/18,0,0,00:00:00
5/26/18,0,0,00:00:00
5/27/18,0,0,00:00:00
5/28/18,0,0,00:00:00
5/29/18,0,0,00:00:00
5/30/18,0,0,00:00:00
5/31/18,0,0,00:00:00
6/1/18,0,0,00:00:00
6/2/18,0,0,00:00:00
6/3/18,0,0,00:00:00
6/4/18,0,0,00:00:00
6/5/18,0,0,00:00:00
6/6/18,0,0,00:00:00
6/7/18,0,0,00:00:00
6/8/18,0,0,00:00:00
6/9/18,0,0,00:00:00
6/10/18,0,0,00:00:00
6/11/18,0,0,00:00:00
6/12/18,0,0,00:00:00
6/13/18,0,0,00:00:00
6/14/18,0,0,00:00:00
6/15/18,0,0,00:00:00
6/16/18,0,0,00:00:00
6/17/18,0,0,00:00:00
6/18/18,0,0,00:00:00
6/19/18,0,0,00:00:00
6/20/18,0,0,00:00:00
6/21/18,0,0,00:00:00
6/22/18,0,0,00:00:00
6/23/18,0,0,00:00:00
6/24/18,0,0,00:00:00
6/25/18,20,20,00:00:00
6/26/18,0,0,00:00:00
6/27/18,0,0,00:00:00
6/28/18,0,0,00:00:00
6/29/18,0,0,00:00:00
6/30/18,0,0,00:00:00
7/1/18,0,0,00:00:00
7/2/18,0,0,00:00:00
7/3/18,20,20,00:00:00
7/4/18,0,0,00:00:00
7/5/18,0,0,00:00:00
7/6/18,0,0,00:00:00
7/7/18,0,0,00:00:00
7/8/18,0,0,00:00:00
7/9/18,0,0,00:00:00
7/10/18,0,0,00:00:00
7/11/18,0,0,00:00:00
7/12/18,0,0,00:00:00
7/13/18,0,0,00:00:00
7/14/18,0,0,00:00:00
7/15/18,1,1,00:00:00
7/16/18,0,0,00:00:00
7/17/18,0,0,00:00:00
7/18/18,0,0,00:00:00
7/19/18,1,1,00:00:00
7/20/18,0,0,00:00:00
7/21/18,0,0,00:00:00
7/22/18,1,1,00:00:00
7/23/18,2,2,00:00:00
7/24/18,0,0,00:00:00
7/25/18,0,0,00:00:00
7/26/18,0,0,00:00:00
7/27/18,1,1,00:00:00
7/28/18,29,6,00:00:42
7/29/18,7,3,00:00:26
7/30/18,30,20,00:00:34
7/31/18,0,0,00:00:00
8/1/18,30,21,00:01:15
8/2/18,53,39,00:05:19
8/3/18,0,0,00:00:00
8/4/18,0,0,00:00:00
8/5/18,0,0,00:00:00
8/6/18,25,18,00:03:56
8/7/18,0,0,00:00:00
8/8/18,30,20,00:00:50
8/9/18,0,0,00:00:00
8/10/18,0,0,00:00:00
8/11/18,0,0,00:00:00
